PN,PNnoun,CorpName
9059110-1,"LEAD, IGNITION",UNISON
FT1221,TRANSFORMER,ELECTROCUBE
FT1260,TRANSFORMER,ELECTROCUBE
FT1260,TRANSFORMER,ELECTROCUBE
5U0073,"LEAD, IGNITION",UNISON
RAA2196-4,"SWITCH, ASSY",GE
2-7680-1,"FUSE ASSY, FLOW RATE",GE
341E01000,"THERMOSTAT, SOLENOID",LIEBHERR
341E010000,"THERMOSTAT, SOLENOID",LIEBHERR
AYLF50143,"SENSOR, DUCT TEMP.",GE
B0706-10004,"SWITCH, MACH AIRSPEED WARNING",GE
B0707-10006,"SENSOR, OVERSPEED LIMIT",GE
1349M95P01,"LOWER CABLE, THERMOCOUPLE",GE
1383M99P01,"UPPER CABLE, THERMOCOUPLE",GE
1407KID02-03,"IND., FUEL QTY",GE
1407KID02-03,"IND., FUEL QTY",GE
306-4314,"SWITCH, TOGGLE",MASON ELECTRIC
3964A0000K01,"SENSOR, TEMP.",LIEBHERR
721RAA2,"SWITCH, TORQUE MECHANISM",GE
RP302-05,"TRANSMITTER, FAN INLET TEMP.",GE
2261-02-1,"INDICATOR, TAT/SAT/TAS",GE
2262-01-1,"INDICATOR, TAT",GE
2307-07-3,"INDICATOR, FUEL QTY",GE
796-809-6,"SENSOR, CADENSICON",GE
124.210-SER,"INDICATOR, FLAP POSITION",ROGERSON KRATOS
810C91600,SWITCH,TRANSCO
102ADP1-4,"PANEL, OVERHEAD ANNUNCIATOR",GE
9106A0001-01,"SENSOR, PRESSURE",LIEBHERR
SIC5059-14-20,"INDICATOR, FUEL QTY",GE
SR09300087-49,"PANEL, OVERHEAD ANNUNCIATOR",GE
WL/120AMA/JA/3,"INDICATOR, MACH-AIRSPEED",GE
WL/806AM/CP/1,"ALTIMETER, MECH. COUNTER POINTER",GE
WL/820AM/MS/6,"ALTIMETER, MECH. COUNTER POINTER",GE
WL/841AM/MS/2,"ALTIMETER, MECH. COUNTER POINTER",GE
WL/856AM/MS/1,"ALTIMETER, MECH. COUNTER POINTER",GE
WL102AMS1,"INDICATOR, ALTIMETER/AIRSPEED",GE
WL104AMA-JA11,"INDICATOR, MACH AIRSPEED",GE
WL104AMA-JA11,"INDICATOR, MACH AIRSPEED",GE
10-617075-6,"ESCITER, IGNITION",UNISON
2831-36,"HEATER, AIR ASSY",COX  COMP.
75P01,"TRANSDUCER, DISPLACEMENT",GE
766B0000-01,SENSOR. PNEUMATIC TEMP.,LIEBHERR
3600-5076,SWITCH,COLE INSTRUMENTS
1U1171-5,ACTUATOR,GE
1U11711-5,ACTUATOR,GE
167550-01-01,"UNIT, CONTROL DISPLAY",GE
170089-01-01,"UNIT, MULTI-PURPOSE CONTROL DISPLAY",GE
174101-01-02,"CONTROL, DISPLAY UNIT",GE
174101-02-03,"CONTROL, DISPLAY UNIT",GE
2-7736-1,"FUSE, QUANTITY MEASURING",GE
341E030000 AMDT A,"THERMOSTAT, SOLENOID",LIEBHERR
405EED1-1,"INDICATOR, STANDBY ENGINE",GE
541996,"LEADS, IGNITION",UNISON
8DJ71GAB,"IND., RATE OF FUEL FLOW",GE
8DJ71GAB1,"IND., RATE OF FUEL FLOW",GE
8DJ71GAB1,"IND., RATE OF FUEL FLOW",GE
B0650-71110,"CONTROL, ALTITUDE ALERT",GE
B0704-10049,"SENSOR, OVERSPEED LIMIT",GE
1211245-010,ACTUATOR,GE
4221-02,"UNIT, DIGITAL TRIM CALIBRATION",GE
60B00145-28,"INDICATOR, OIL QTY.",GE
60B00300-104,"INDICATOR, PERCENTAGE RPM TACH.",GE
975A0000-02,"ACTUATOR, RAM AIR INLET",LIEBHERR
FT1021,TRANSFORMER,ELECTROCUBE
301EDP1-3,"PANEL,ENGINE DISPLAY",GE
2120-02-1,"INDICATOR, FUEL QUANTITY",GE
1325M15P07,JUNCTION BOX,GE
1346M56P05,"LEAD, IGNITION",UNISON
305RAA2,"SERVO,  AUTOTHROTTLE",GE
306-4306,"SWITCH, TOGGLE",MASON ELECTRIC
50A193,"PROBE, EEC SPEED TRANSDUCER",PRATT & WHITNEY
50A676,"PROBE, EEC SPEED TRANSDUCER",UNISON
50A676,"PROBE, EEC SPEED TRANSDUCER",UNISON
50A776,"PROBE, EEC SPEED TRANSDUCER",UNISON
50A776,"PROBE, EEC SPEED TRANSDUCER",UNISON
90-900-1032,"GAUGE, PRESSURE",ROGERSON KRATOS
90-900-1032ATS,"GAUGE, PRESSURE",ROGERSON KRATOS
KMA-1001W,"INDICATOR, MACHMETER",GE
L963047,"EXCITER, IGNITION",UNISON
10-319697-1,"LEADS, IGNITION",UNISON
2-459-07,"DIMMER, LAMP INCANDESCENT",CRANE ELDEC CORP
2-792-01,"CHARGER, BATTERY",CRANE ELDEC CORP
5421-14-932-430-8,"DETECTOR, FIRE/OVERHEAT",MEGGITT
72-130001-010,"DETECTOR, SMOKE",FENWAL SAFETY SYSTEMS
72-13000X-XXX,"DETECTOR, AIRCRAFT SMOKE",FENWAL SAFETY SYSTEMS
1704-600-10,"DETECTOR, FIRE/OVERHEAT",MEGGITT
7101-03,"DETECTOR, FIRE OVERHEAT ",MEGGITT
8930-111B60L010,"DETECTOR, SMOKE",MEGGITT
8930-111B60L010,"DETECTOR, SMOKE",MEGGITT
8930-212B,"DETECTOR, SMOKE",MEGGITT
8950-07-002,"DETECTOR, FIRE/OVERHEAT HARNESS",MEGGITT
8950-08-005,"DETECTOR, FIRE/OVERHEAT WIRING HARNESS CABLE",MEGGITT
8970-01,"DETECTOR, FIRE/OVERHEAT (DER)",MEGGITT
8970-04,"DETECTOR, FIRE/OVERHEAT",MEGGITT
ABS-3128,BATTERY (PMA),DIEHL AEROSPACE
ABS-3214-31,BATTERY (PMA),DIEHL AEROSPACE
10-61096-58,"DETECTOR, FIRE/OVERHEAT",MEGGITT
903470,"DETECTOR, FIRE/OVERHEAT",MEGGITT
35592-4-400,"ELEMENT, SENSING",FENWAL SAFETY SYSTEMS
8-018-03,"SENSOR, PROXIMITY",CRANE ELDEC CORP
M2217,"INDICATOR, PERCENTAGE THRUST",MEGGITT
S332T100-43,"DETECTOR, FIRE",MEGGITT
S35T010-2,ACTUATOR,SHIMADZU
3601-55,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-90,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-91-675,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-97,"DETECTOR, FIRE/OVERHEAT",MEGGITT
8062,"DETECTOR, FIRE/OVERHEAT ASSY",MEGGITT
1050-800/375-6,"DETECTOR, FIRE/OVERHEAT",MEGGITT
4197-20-03,"UNIT, ADV. INTEGRATED BALLAST",DIEHL AEROSPACE
4197-30,"UNIT, ADV. INTEGRATED BALLAST",DIEHL AEROSPACE
7702-02,"DETECTOR, FIRE/OVERHEAT ASSY",MEGGITT
7702-04,"DETECTOR, FIRE/OVERHEAT ASSY",MEGGITT
VT477,"IND., HYD. RESERVOIR QTY",DIEHL AEROSPACE
10-62239-1,"HORN, GROUND CREW CALL",WHELEN ENG.
144-151-000-101,"TRANSDUCER, PIEZO-ELECTRIC",MEGGITT
356XX-2,"ELEMENT, SENSING",FENWAL SAFETY SYSTEMS
3601-131,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-16,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-18,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-28,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-31,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-48,"DETECTOR, FIRE/OVERHEAT",MEGGITT
8-484-01,"SENSOR, PROXIMITY",CRANE ELDEC CORP
8-731-02,"SENSOR, PROXIMITY SWITCH",CRANE ELDEC CORP
8-788-01,"SENSOR, PROXIMITY SWITCH",CRANE ELDEC CORP
3214-54-10U,"PWR SUPPLY, EPSU",DIEHL AEROSPACE
3214-55-10,"PWR SUPPLY, EPSU",DIEHL AEROSPACE
3214-62-32,"POWER SUPPLY, SLIDE RELEASE",DIEHL AEROSPACE
3247-10,"UNIT, BALLAST",DIEHL AEROSPACE
3247-16,"UNIT, BALLAST",DIEHL AEROSPACE
3247-20,"UNIT, BALLAST",DIEHL AEROSPACE
3250-70,"UNIT, BALLAST",DIEHL AEROSPACE
5205160005,"INDICATOR, COURSE SELECTOR",AERONETICS
1704-1014-1A,"DETECTOR, LOW RPM WARNING",BELL
7101-09,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-10,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-11,"DETECTOR, FIRE OVERHEAT",MEGGITT
7101-135,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-135-117/750-5,"DETECTOR, FIRE OVERHEAT",MEGGITT
1011A,"UNIT, OPERATING POWER",MEGGITT
2-301,"CHARGER, BATTERY",CRANE ELDEC CORP
2-456-08,"DIMMER, LAMP INCANDESCENT",CRANE ELDEC CORP
5421-08,"DETECTOR, FIRE/OVERHEAT",MEGGITT
7883,"DETECTOR, FIRE/OVERHEAT ASSY",MEGGITT
18801-5-92,"DETECTOR, COOLING EFFECT",FENWAL SAFETY SYSTEMS
7101-17,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-25,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-265-1175/800-5,"DETECTOR, FIRE OVERHEAT",MEGGITT
7101-38-1000/550-3,"DETECTOR, FIRE OVERHEAT",MEGGITT
7101-55,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-57,"DETECTOR, FIRE OVERHEAT ",MEGGITT
7101-61,"DETECTOR, FIRE OVERHEAT ",MEGGITT
8870-14,"DETECTOR, FIRE/OVERHEAT (DER)",MEGGITT
8891-03,"DETECTOR, FIRE/OVERHEAT",MEGGITT
732-13870-04,ACTUATOR,SHIMADZU
732-13870-1,ACTUATOR,SHIMADZU
9-115-14,"IND., FUEL FLOW",CRANE ELDEC CORP
9-118-14,"INDICATOR, FUEL FLOW RATE",CRANE ELDEC CORP
C60AA0082,"SWITCH, LOW LEVEL",LUCAS AEROSPACE
10-61096-37,"DETECTOR, FIRE/OVERHEAT",MEGGITT
903469-04,"DETECTOR, FIRE/OVERHEAT",MEGGITT
7G813,"SWITCH, GAUGE PRESSURE","CUSTOM CONTROL SENSORS, INC."
90G118-2,"SWITCH, PRESSURE","CUSTOM CONTROL SENSORS, INC."
1191-8,"PWR SUPPLY, AC IN-SEAT",ASTRONICS ADVANCE ELECTRONICS
42D395,"SWITCH, PRESSURE","CUSTOM CONTROL SENSORS, INC."
610BL3,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
162BL704A,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
162BL704F,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
163BL507B,"INDICATOR, TEMP.",ULTRA ELECTRONICS
VG10-04,TRANSMITTER,PRECILEC
10-0439-1,"LIGHT, WINDOW FLUORESCENT",BRUCE IND.
30-326-2,"CONTROL, AMPLIFIER",KIDDE AEROSPACE
30-326E-1,CONTROL AMPLIFIER,KIDDE AEROSPACE
301-790-301-0,"SENSOR, VBV POSITION",PRECILEC
301-790-302-0,"SENSOR, VBV POSITION",PRECILEC
474006-02,"PANEL, CARGO DETECTOR",KIDDE AEROSPACE
474190-1,"DETECTOR, FIRE",KIDDE AEROSPACE
10-1098-01,"DETECTOR, FIRE/OVERHEAT",KIDDE AEROSPACE
1G196-1,"SWITCH, PRESSURE GAUGE","CUSTOM CONTROL SENSORS, INC."
30-231R-17,"DETECTOR, SMOKE",KIDDE AEROSPACE
05939-3,"BALLAST, FLOURESCENT LAMP",BRUCE IND.
05939-5,"BALLAST, FLOURESCENT LAMP",BRUCE IND.
1562-2,"HORN, SELF-CONTAINED WARN.",GROVER
MV-10,MEGAPHONE,FANON
4305790011,"UNIT, TIRE PRESSURE MONITORING",SAFRAN
610BL4E,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
E21327001,CONTROL. BRAKING/STEERING UNIT,SAFRAN
E213270B1,CONTROL. BRAKING/STEERING UNIT,SAFRAN
149LV11,"INDICATOR, VOLTMETER",ULTRA ELECTRONICS
152BCL4J2,"INDICATOR, EGT",ULTRA ELECTRONICS
152BCL4R,"INDICATOR, EGT",ULTRA ELECTRONICS
152BL708H,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
152LMA18,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
11198-4,"SENSOR, FLOW",DYNAMIC CONTROLS
RL202EED5,"INDICATOR, TEMPERATURE",GE AVIATION
RL202EED5,"INDICATOR, TEMPERATURE",GE AVIATION
7062-3,"UNIT, CONTROL MOTOR",SAFRAN
7062-3,"UNIT, CONTROL MOTOR",SAFRAN
894938,"DETECTOR, OVER HEAT",KIDDE AEROSPACE
899315-05,"MODULE, ENGINE FIRE/OVERHEAT",KIDDE AEROSPACE
H20-33B,"SWITCH, METER MVMT","CUSTOM CONTROL SENSORS, INC."
1024-3A,DIMMER,ASTRONICS ADVANCE ELECTRONICS
4067241-842,"INDICATOR, VSI/TRA",ACSS
4067241-864,"INDICATOR, VSI/TRA",ACSS
4067241-882,"INDICATOR, VSI/TRA",ACSS
C20215000,"TRANSMITTER, BRAKE PEDAL",SAFRAN
4443,"POWER SUPPLY, BACKUP",SAGEM
446551,"ELEMENT, TERMINAL LUG SENSING",KIDDE AEROSPACE
44A280,"SWITCH, BAROMETRIC","CUSTOM CONTROL SENSORS, INC."
617-1,"CONTROLLER, WINDSHIELD TEMP.",ASTRONICS ADVANCE ELECTRONICS
LK35-1.LK35-2,"ALTIMETER, STANDBY",TOKYO INSTRUMENTS
S332T101-18,"DETECTOR, FIRE",KIDDE AEROSPACE
473575,"DETECTOR, OVER HEAT",KIDDE AEROSPACE
473576,"DETECTOR, OVER HEAT",KIDDE AEROSPACE
473597-1,"DETECTOR, SMOKE",KIDDE AEROSPACE
473760,"DETECTOR, FIRE",KIDDE AEROSPACE
42-719-02,"SHIELD, ANTI-SKID CONTROL",CRANE HYDRO
90G93,"SWITCH, PRESSURE","CUSTOM CONTROL SENSORS, INC."
162BL703,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
162BL802A,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
163CV50,"INDICATOR, WATER/WASTE QTY",ULTRA ELECTRONICS
VG10-02,TRANSMITTER,PRECILEC
45D16-1,"SWITCH, DIFFERENTIAL PRESSURE","CUSTOM CONTROL SENSORS, INC."
152BCL4F,"INDICATOR, EGT",ULTRA ELECTRONICS
152BL802D,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
152BL803,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
152LMA22,"INDICATOR, TEMPERATURE",ULTRA ELECTRONICS
40102,"SWITCH, PRESSURE","CUSTOM CONTROL SENSORS, INC."
APT-7A-1500-7BARD,"SENSOR, OIL PRESSURE",GE AVIATION
1G259-2,"SWITCH, OIL PRESSURE","CUSTOM CONTROL SENSORS, INC."
BR9661-105,EXIT ID/POWER SUPPLY,BRUCE IND.
C20105100,TACHOMETER,SAFRAN
894504,"DETECTOR, OVER HEAT",KIDDE AEROSPACE
896798,"DETECTOR, OVER HEAT",KIDDE AEROSPACE
899315-09,"MODULE, ENGINE FIRE/OVERHEAT",KIDDE AEROSPACE
B7110,"SENSOR, COMPARTMENT TEMPERATURE",SCIENTIFIC INSTRUMENTS
BA5-0933-901,BATTERY CHARGER,BRUCE IND.
H20-28B,"SWITCH, METER MVMT","CUSTOM CONTROL SENSORS, INC."
4067241-844,"INDICATOR, VSI/TRA",ACSS
42D107A1,"SWITCH, DIFFERENCIAL PRESSURE","CUSTOM CONTROL SENSORS, INC."
285T0022-41,"PANEL, AUDIO SELECTOR",BAE SYSTEMS
285T0024-28,"PANEL, PILOT CALL",BAE SYSTEMS
285T0035-202,POWER SUPPLY,BAE SYSTEMS
285T0038-5,HANDSET,BAE SYSTEMS
285T0049-53,"UNIT, FLAP/SLAT ELECTRONIC",BAE SYSTEMS
285T0099-17,"MODULE, FLAP/STAB POSITION",BAE SYSTEMS
285T0553-3,"PANEL, ILS CONTROL",BAE SYSTEMS
285T0554-3,"PANEL, VOR CONTROL",BAE SYSTEMS
285T0555-1,"PANEL, ATC CONTROL",BAE SYSTEMS
285U0011-205,"UNIT, FLAP CONTROL",BAE SYSTEMS
285U0019-204,"CARD, PC FUEL SYSTEM",BAE SYSTEMS
417T3051-478A,"PANEL, INBOARD PSU OXYGEN",BAE SYSTEMS
417T4201-345,"MODULE, CENTER OXYGEN",BAE SYSTEMS
417T4201-366,"MODULE, CENTER OXYGEN",BAE SYSTEMS
417U6010-11,"CRADLE, CABIN INTERPHONE ASSY",BAE SYSTEMS
5956890-505,"PANEL, LIGHTING CONTROL",BAE SYSTEMS
HPD-40538-961,"LIGHT, ASSY",BAE SYSTEMS
0336KTU01,"UNIT, FUEL QTY TANK",ONTIC
233T3100-172,"PANEL, INSTRUMENT MODULE",BAE SYSTEMS
233T3100-206,"PANEL, INSTRUMENT MODULE",BAE SYSTEMS
233T3100-225,"PANEL, EMERGENCY LIGHTS",BAE SYSTEMS
233T3100-250,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3210-1308,"PANEL, EMERGENCY LIGHTS",BAE SYSTEMS
233T3233-16,"PANEL, ANNUNCIATOR",BAE SYSTEMS
233T3234-12,"PANEL, HYDRAULIC SYS CONT",BAE SYSTEMS
233T3234-31,"PANEL, HYDRAULIC SYS CONT",BAE SYSTEMS
233T3236-1044,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-1302,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-1316,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-1319,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-1321,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
233T3236-1349,"PANEL, TEMPERATURE CONTROL",BAE SYSTEMS
315A1040-7,"BOX, ENGINE THROTTLE FUEL CONTROL",BAE SYSTEMS
315A1040-9,"BOX, ENGINE THROTTLE FUEL CONTROL",BAE SYSTEMS
65-24917-10,"UNIT, AUTOPILOT ACCESSORY",BAE SYSTEMS
65-24917-102,"UNIT, AUTOPILOT ACCESSORY",BAE SYSTEMS
65-24917-119,"UNIT, AUTOPILOT ACCESSORY",BAE SYSTEMS
65-24917-146,"UNIT, AUTOPILOT ACCESSORY",BAE SYSTEMS
AC45-0072-1,"SWITCH, ROTARY",BAE SYSTEMS
417N3100-402SP,P.S.U. ASSY,BAE SYSTEMS
417N3100-432SP,P.S.U. ASSY,BAE SYSTEMS
417N3100-625SP,P.S.U. ASSY,BAE SYSTEMS
65B07320-11,"BOX, CARGO DOOR ELECTRICAL JUNCTION",BAE SYSTEMS
65B40605-20,"PANEL, CARGO CONTROL",BAE SYSTEMS
65B46101-21,"MODULE, GENERATOR CONTROL",BAE SYSTEMS
65B80863-2,BRACKET ASSY,BAE SYSTEMS
65B82300-46,SWITCH,BAE SYSTEMS
65C16237-52,"CARDFILE, LANDING GEAR LOGIC SHELF ASSY",BAE SYSTEMS
B4901,GENERATOR,BAE SYSTEMS
B9735-2-1385,"LIGHT, ASSY",BAE SYSTEMS
B9735-2-1385,"LIGHT, ASSY",BAE SYSTEMS
102300-11,"CONTROLLER, LOGIC",BAE SYSTEMS
1024-4A,DIMMER,ASTRONICS ADVANCED
259-659-1001-001,HANDLE,BAE SYSTEMS
344N5101-10,"PANEL, FUELING CONTROL",BAE SYSTEMS
344N5101-5,"PANEL, FUELING CONTROL",BAE SYSTEMS
35-467-1004,"PANEL, BRAKE TEMP./SENSING & INDICATING",AEROSPATIALE
35-493-2001,"DIMMER, IND. LIGHT",AEROSPATIALE
35-493-2002,"DIMMER, IND. LIGHT",AEROSPATIALE
65-60214-8,"UNIT, FLIGHT INSTRUMENT",BAE SYSTEMS
65-60214-95,"UNIT, FLIGHT INST. ASSY",BAE SYSTEMS
65-70390-8,"INTERPHONE AMPLIFIER, PRINTED CIRCUIT",BAE SYSTEMS
65-73606-44,"UNIT, ENGINE ACCESSORY  ",BAE SYSTEMS
65-84209-11,"UNIT, AUTO SPEED BRAKE",BAE SYSTEMS
65-84209-8,"UNIT, AUTO SPEED BRAKE",BAE SYSTEMS
654U0061-4,"BOX, CARGO DOOR ELECTRICAL JUNCTION",BAE SYSTEMS
10-61219-116,"UNIT, FUEL SUMMATION",ONTIC
275N2059-1,"CARTRIDGE, POSITION SPRING",BAE SYSTEMS
69-15971-12,"MODULE, ANTI-ICE",BAE SYSTEMS
69-15972-24,"MODULE, FUEL HEAT  ",BAE SYSTEMS
S233T100-5012,LIGHTPLATE,BAE SYSTEMS
112N6101-4,"DOOR, FUEL TANK ACCESS",BAE SYSTEMS
112N6102-2,"DOOR, FUEL TANK ACCESS",BAE SYSTEMS
69-37321-46,"MODULE, POWER",BAE SYSTEMS
69-37322-19,"MODULE, OXYGEN SYSTEM",BAE SYSTEMS
69-37324-378,"MODULE, CABIN TEMPERATURE",BAE SYSTEMS
69-37334-15,"MODULE, CAB ALT/RATE OF CLIMB",BAE SYSTEMS
69-37335-112,"MODULE, FUEL SYSTEM",BAE SYSTEMS
69-37335-115,"MODULE, FUEL SYSTEM",BAE SYSTEMS
710204-8,"CONTROLLER, CABIN PRESSURE",HAMILTON SUNDSTRAND
710298-8,"PANEL, PRESSURE SELECTOR",HAMILTON SUNDSTRAND
711003-3,"VALVE, CABIN OUTFLOW",HAMILTON SUNDSTRAND
PPA2101-00,"DETECTOR, SMOKE",SIEMENS
2-7462-8,"VALVE, AUTOBRAKE SHUTTLE",TRIUMPH
26340061-04,"CHARGER, BATTERY",HAMILTON SUNDSTRAND
720737-4,"VALVE, SAFETY",HAMILTON SUNDSTRAND
179427-2,"TRANSDUCER, AMBIENT PRESSURE",HAMILTON SUNDSTRAND
820907-1,"SWITCH, OVERTEMPERATURE",HAMILTON SUNDSTRAND
820965-1,"SENSOR, DIFF / PRESSURE",HAMILTON SUNDSTRAND
820973-2,"SWITCH, TEMP.",HAMILTON SUNDSTRAND
A9259216805800,HANDSET,AIRBUS
A9259216805800,HANDSET,AIRBUS
A9259233301500,"HEATER, ASSY",AIRBUS
A9259233302500,"HEATER, ASSY",AIRBUS
A9259467500200,"HEATER, ASSY",AIRBUS
F273.10011.000AG,"STICK, SIDE",AIRBUS
F273.10012.000AL,"STICK, SIDE",AIRBUS
F27310011000AM,"STICK, SIDE",AIRBUS
F9259021901000,"UNIT, PASSENGER SERV.",AIRBUS
F9259021903400,"UNIT, PASSENGER SERV.",AIRBUS
F9259034600400,"LIGHT PANEL, ATTENDANT WORK",AIRBUS
Z111H0023112,"PANEL, ATTENDANT IND.",AIRBUS
Z120H0005110,"PANEL, ADDITIONAL ATTENDANT",AIRBUS
Z120H0026110,"PANEL, ADDITIONAL ATTENDANT",AIRBUS
Z120H0029110,"PANEL, ADDITIONAL ATTENDANT",AIRBUS
HTC7N060,RELAY,ESTERLINE AUXITROL
CA175-04,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
CA194-02,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
RP-236-00,PROBE,ESTERLINE AUXITROL
RP235-00,"SENSOR, TEMPERATURE",ESTERLINE AUXITROL
4100947,"FAN, VSCF",HAMILTON SUNDSTRAND
4102107A,"FAN, 9"" DIAMETER MIXED FLOW",HAMILTON SUNDSTRAND
686633,"CONTROL, ELECT. EQUIPT.",HAMILTON SUNDSTRAND
CGAB1100-00,"DETECTOR, SMOKE",SIEMENS
9819-29-02,"INDICATOR, SURFACE POSITION",MOOG COMPONENTS GROUP
369162,"PLUG, IGNITER",CHAMPION AEROSPACE
810504-10,"SENSOR, PRESSURE",HAMILTON SUNDSTRAND
810603-4,"SENSOR, PRESSURE",HAMILTON SUNDSTRAND
28VS200Y4B-2,"POWER SUPPLY, TRANSFORMER-RECTIFIER",CHAMPION AEROSPACE
771275-1,"PANEL, PRESSURE SELECTOR",HAMILTON SUNDSTRAND
773855-5,"VALVE, FAN AIR MODULATING",HAMILTON SUNDSTRAND
774300-1,"TRANSMITTER, SOLID STATE IEPR",HAMILTON SUNDSTRAND
905D977-7,"REGULATOR, AC VOLTAGE",HAMILTON SUNDSTRAND
907D611-1,"PANEL, AC PROTECTION",HAMILTON SUNDSTRAND
D27310001800600,"STICK, SIDE",AIRBUS
Z120H0033110,"PANEL, ADDITIONAL ATTENDANT",AIRBUS
Z120H0070112,"PANEL, ADDITIONAL ATTENDANT",AIRBUS
Z220H0000110,"UNIT, CONTROL",AIRBUS
ZRA1990030,"TRANSDUCER, PRESSURE",ESTERLINE AUXITROL
60B00026-15,SENSOR,HAMILTON SUNDSTRAND
TC173-00,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
TC173-00,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
TC262-01,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
TC272-02,"THERMOCOUPLE, WIRING HARNESS",ESTERLINE AUXITROL
10-62204-5,"FUSE, QUANTITY MEASURING",TRIUMPH
942D055-1,"BREAKER, CIRCUIT",HAMILTON SUNDSTRAND
947F946-2,"PANEL, AC BUS CONTROL",HAMILTON SUNDSTRAND
D95500018007AD,"STICK, SIDE",AIRBUS
D95500018007AF,"STICK, SIDE",AIRBUS
D95500019008AG,"STICK, SIDE",AIRBUS
D95500019009AF,"STICK, SIDE",AIRBUS
D95500019009AG,"STICK, SIDE",AIRBUS
D95500019011AB,"STICK, SIDE",AIRBUS
D9550001901400,"STICK, SIDE",AIRBUS
DDT1P1291,MICRPHONE,TEAM
V80P412-2-2-198,BLOWER,AIRBUS
4501259B,"DIVIDER, FLOW ASSY",HAMILTON SUNDSTRAND
80000000-02,"SWITCH, STABILIZER TRIM LIMIT",MOOG COMPONENTS GROUP
80000000-09,"SWITCH, STABILIZER TRIM LIMIT",MOOG COMPONENTS GROUP
401-60278-3,"SWITCH, PRESSURE",MOOG COMPONENTS GROUP
HT-C7N-060,RELAY,ESTERLINE AUXITROL
2-7462-2,"VALVE, AUTOBRAKE SHUTTLE",TRIUMPH
2-8020-1,"FUSE, ASSY",TRIUMPH
544646-7,"ACTUATOR, ROTARY",MOOG COMPONENTS GROUP
719201-9,"VALVE, PRESSURIZATION OUTFLOW",HAMILTON SUNDSTRAND
TC.174.02,HARNESS,ESTERLINE AUXITROL
FTA720-XX,"DETECTION SYSTEM, CABIN SMOKE",SIEMENS
P3C0419531,"SENSOR, OIL TEMP.",ESTERLINE AUXITROL
301-785-001-0,"HARNESS, WIRING",ESTERLINE AUXITROL
4950009,"SENSOR, SPEED",HAMILTON SUNDSTRAND
S210T170-30,"VALVE, MOTOR ACTUATED FLAPPER SECT.",MEGGITT
8-018-06,"SENSOR, PROXIMITY",CRANE ELDEC CORP
8-344-01,"SENSOR, PROXIMITY",CRANE ELDEC CORP
8-345-03,"SENSOR, PROXIMITY",CRANE ELDEC CORP
8-372-01,"SENSOR, PROXIMITY",CRANE ELDEC CORP
3601-56-1150/800-8,DETECTOR,MEGGITT
3601-56-1150/800-8,DETECTOR,MEGGITT
3601-78,"DETECTOR, FIRE/OVERHEAT",MEGGITT
3601-88,"DETECTOR, FIRE/OVERHEAT",MEGGITT
468300-201,"PRINTER, THERMAL",MILTOPE
4190-01,"INVERTER, STATIC",DIEHL AEROSPACE
772-335-00,EPSU W/O BATTERY,DIEHL AEROSPACE
A15551P2,"CLOCK, GMT",HAYDON SWITCH
6489-01,"DETECTOR, FIRE/OVERHEAT",MEGGITT
8243,"DETECTOR, FIRE/OVERHEAT ASSY",MEGGITT
